KULT;;od;do
-;;;
?;;;
br-ha;d. bronzová - d. halštalská;-2300;-450
br.a;d. bronzová A;-2300;-800
br.bil;billendorfská k.;-950;-451
br.che;chebská skupina;-1300;-1000
br.d;d. bronzová D;-2300;-800
br.ha;d. haštalská A;-700;-450
br.hb;d. haštalská B;-700;-450
br.kno;knovízká k.;-1300;-920
br.luz;lužická k.;-1400;-400
br.m-h;ml .d. bronzová - d.haštalská;-1300;-450
br.m-p;mladší-starší d. bronzová;-1300;-1600
br.mil;milaveèská k.;-1200;-900
br.ml;ml .d. bronzová;-1300;-1020
br.moh;k. mohylová d. bronzová;-1500;-1300
br.nyn;nynická skupina;-950;-800
br.po;pozdní d. bronzová;-1020;-750
br.s-s;starší-støední d. bronzová;-2300;-1250
br.s/s;d. bronzová pøelom A;-2300;-800
br.sd;støední d. bronzová;-1650;-1250
br.slp;slezskoplatìnická k.;-1050;-400
br.st;starší d. bronzová;-2300;-1600
br.sti;štítarská k.;-950;-800
br.une;únìtická k.;-2300;-1600
br.vet;vìteøovská k.;-1400;-1300
bronz;d. bronzová neurè;-2300;-750
en-br;eneoli-d. bronzová;-4300;-2300
en-ha;eneolit-d. haštalská;-4300;-450
en.bad;badenská k.;-2800;-2200
en.ca;èasný eneolit;-4400;-3800
en.cha;chamská k.;-3200;-2800
en.jor;jordanovská k.;-4200;-4000
en.kul;k. kulovitých amfor;-3300;-2800
en.mic;michelberská k.;-4200;-3800
en.ml;mladší eneolit;-2800;-2300
en.nal;k. nálevkovitých pohár;-3800;-3400
en.riv;øivòáèská k. ;-2900;-2700
en.sch;schussenriecká k.;;
en.sd;støední eneolit;-3350;-2800
en.snu;k. šnùrové ker.;-2900;-2350
en.st;starší eneolit;-3700;-3350
en.zvo;k. zvoncovitých pohár;-2900;-1800
eneoli;eneolit neurè;-4300;-2200
ha-la;d. halštatská - d. laténská;-700;0
ha.byl;bylanská k.;-800;-600
ha.c;d. halštatská C;-700;-450
ha.d;d. halštatská D;-700;-450
ha.dla;obd hal až lat;-700;0
ha.ml;mladší doba halštatská;-700;-650
ha.moh;halštatská mohylová;-1600;-1300
ha.po;pozdní d. halštatská;-650;-450
ha.slp;slezskoplatìnická H;-1050;-400
halsta;d. halštatská;-700;-450
la-ri;laténská - øímská;-500;380
la.a;laténská A;-500;0
la.b;laténská B;-500;0
la.b-d;laténská B - D;-500;0
la.c;laténská C;-500;0
la.d;laténská D;-500;0
la.kob;kobylská skupina;-300;-200
la.pod;podmokelská skupina;-300;-200
laten;d. laténská;-500;-30
me-en;mezolit-eneolit;-8000;-2000
me-ne;mezolit-neolit;-8000;-4200
mezoli;mezolit;-8000;-5700
ne-en;neolit-eneolit;-5700;-2000
ne.len;k.lengyelská;-4400;-4300
ne.lin;k.lineární ker.;-6000;-5000
ne.ml;mladší neolit;-4250;-4000
ne.vyp;k.vypíchané ker.;-5000;-4400
neolit;neolit;-5000;-4000
no.1;novovìk 1;1450;1790
no.2;novovìk 2;1450;1790
novove;novovìk;1450;1790
pa-en;paleolit-eneolit;-1800000;-2000
pa-me;paleolit-mezolit;-1800000;-5700
pa.aur;aurignacien;-38000;-28000
pa.gra;gravettien;-30000;-20000
pa.mag;magdalénien;-17000;-11000
pa.ml;mladší paleolit;-50000;-10000
pa.po;pozdní paleolit;-10000;-9500
pa.sd;støední paleolit;-250000;-40000
pa.st;starší paleolit;-1000000;-300000
paleol;paleolit neurè.;-1800000;-8000
pp.slp;slezskoplatìnická k.;-900;-600
pp.tur;turnovský typ;-900;-600
ppole;obd. Popelnicových p;-1300;-750
pr.lov;lovecký pravìk;-3000000;-4000
pr.zem;zemìdìlský pravìk;-3000000;-4000
pravek;pravìk;-3000000;-4000
ri-sn;d. øímská - stìhování národù;-30;625
ri.a;d. øímská A;-30;400
ri.b;d. øímská B;-30;400
ri.c;d. øímská C;-30;400
ri.ml;ml. d. øímská;150;400
ri.pla;plaòanský typ;-30;400
ri.st;st. d. øímská;0;150
rim;d. øímská;-30;400
rs.1;raný støedovìk 1;600;1100
rs.2;raný støedovìk 2;600;1100
rs.3;raný støedovìk 3;600;1100
rs.4;raný støedovìk 4;600;1100
rs.hra;hradištní obd.;650;1250
rs/vs;pøechod RS 4 - VS 1;600;1350
rstred;raný støedovìk;600;1100
sn.ml;ml. d. stìhování národù;500;625
sn.st;st. d. stìhování národù;400;500
snarod;d. stìhování národù;400;625
st-no;støedovìk-novovìk;476;1790
stredo;støedovìk;476;1450
vs-no;VS-novovìk;1350;1790
vs.1;vrcholný støedovìk 1;1100;1350
vs.2;vrcholný støedovìk 2;1100;1350
vs/no;pøechod VS 2 - novovìk;1350;1790
vstred;vrcholný støedovìk;1100;1350
